"TIME","TIME_LABEL","GEO","COICOP","UNIT","Value"
"2015","2015","European Union (current composition)","Margarine and other vegetable fats","Per mille",":"
"2015","2015","European Union (current composition)","Olive oil","Per mille",":"
"2015","2015","European Union (current composition)","Other edible oils","Per mille",":"
"2015","2015","European Union (current composition)","Other edible animal fats","Per mille",":"
"2015","2015","European Union (current composition)","Fruit","Per mille",":"
"2015","2015","European Union (current composition)","Citrus fruits (fresh, chilled or frozen)","Per mille",":"
"2015","2015","European Union (current composition)","Bananas (fresh, chilled or frozen)","Per mille",":"
"2015","2015","European Union (current composition)","Apples (fresh, chilled or frozen)","Per mille",":"
"2015","2015","European Union (current composition)","Pears (fresh, chilled or frozen)","Per mille",":"
"2015","2015","European Union (current composition)","Stone fruits (fresh, chilled or frozen)","Per mille",":"
"2015","2015","European Union (current composition)","Berries (fresh, chilled or frozen)","Per mille",":"
"2015","2015","European Union (current composition)","Other fresh, chilled or frozen fruits","Per mille",":"
"2015","2015","European Union (current composition)","Dried fruit and nuts","Per mille",":"
"2015","2015","European Union (current composition)","Preserved fruit and fruit-based products","Per mille",":"
"2015","2015","European Union (current composition)","Vegetables","Per mille",":"
"2015","2015","European Union (current composition)","Leaf and stem vegetables (fresh, chilled or frozen)","Per mille",":"
"2015","2015","European Union (current composition)","Cabbages (fresh or chilled)","Per mille",":"
"2015","2015","European Union (current composition)","Vegetable grown for their fruit (fresh, chilled or frozen)","Per mille",":"
"2015","2015","European Union (current composition)","Root crops, non-starchy bulbs and mushrooms (fresh, chilled or frozen)","Per mille",":"
"2015","2015","European Union (current composition)","Dried vegetables","Per mille",":"
"2015","2015","European Union (current composition)","Other preserved or processed vegetables","Per mille",":"
"2015","2015","European Union (current composition)","Potatoes","Per mille",":"
"2015","2015","European Union (current composition)","Other tubers and products of tuber vegetables","Per mille",":"
"2015","2015","European Union (current composition)","Sugar, jam, honey, chocolate and confectionery","Per mille",":"
"2015","2015","European Union (current composition)","Sugar","Per mille",":"
"2015","2015","European Union (current composition)","Jams, marmalades and honey ","Per mille",":"
"2015","2015","European Union (current composition)","Chocolate","Per mille",":"
"2015","2015","European Union (current composition)","Confectionery products","Per mille",":"
"2015","2015","European Union (current composition)","Edible ices and ice cream","Per mille",":"
"2015","2015","European Union (current composition)","Other sugar products","Per mille",":"
"2015","2015","European Union (current composition)","Food products n.e.c.","Per mille",":"
"2015","2015","European Union (current composition)","Sauces, condiments","Per mille",":"
"2015","2015","European Union (current composition)","Salt, spices and culinary herbs","Per mille",":"
"2015","2015","European Union (current composition)","Other food products n.e.c.","Per mille",":"
"2015","2015","European Union (current composition)","Baker's yeast, dessert preparations, soups","Per mille",":"
"2015","2015","European Union (current composition)","Non-alcoholic beverages","Per mille",":"
"2015","2015","European Union (current composition)","Coffee, tea and cocoa","Per mille",":"
"2015","2015","European Union (current composition)","Coffee","Per mille",":"
"2015","2015","European Union (current composition)","Tea","Per mille",":"
"2015","2015","European Union (current composition)","Cocoa and powdered chocolate","Per mille",":"
"2015","2015","European Union (current composition)","Mineral waters, soft drinks, fruit and vegetable juices","Per mille",":"
"2015","2015","European Union (current composition)","Mineral or spring waters","Per mille",":"
"2015","2015","European Union (current composition)","Soft drinks","Per mille",":"
"2015","2015","European Union (current composition)","Fruit juices","Per mille",":"
"2015","2015","European Union (current composition)","Vegetable juices","Per mille",":"
"2015","2015","European Union (current composition)","Alcoholic beverages, tobacco and narcotics","Per mille",":"
"2015","2015","European Union (current composition)","Alcoholic beverages","Per mille",":"
"2015","2015","European Union (current composition)","Spirits","Per mille",":"
"2015","2015","European Union (current composition)","Wine","Per mille",":"
"2015","2015","European Union (current composition)","Beer","Per mille",":"
"2015","2015","European Union (current composition)","Tobacco","Per mille",":"
"2015","2015","European Union (current composition)","Tobacco","Per mille",":"
"2015","2015","European Union (current composition)","Narcotics","Per mille",":"
"2015","2015","European Union (current composition)","Narcotics","Per mille",":"
"2015","2015","European Union (current composition)","Clothing and footwear","Per mille",":"
"2015","2015","European Union (current composition)","Clothing","Per mille",":"
"2015","2015","European Union (current composition)","Clothing materials","Per mille",":"
"2015","2015","European Union (current composition)","Garments","Per mille",":"
"2015","2015","European Union (current composition)","Other articles of clothing and clothing accessories","Per mille",":"
"2015","2015","European Union (current composition)","Cleaning, repair and hire of clothing","Per mille",":"
"2015","2015","European Union (current composition)","Footwear","Per mille",":"
"2015","2015","European Union (current composition)","Shoes and other footwear","Per mille",":"
"2015","2015","European Union (current composition)","Repair and hire of footwear","Per mille",":"
"2015","2015","European Union (current composition)","Housing, water, electricity, gas and other fuels","Per mille",":"
"2015","2015","European Union (current composition)","Actual rentals for housing","Per mille",":"
"2015","2015","European Union (current composition)","Actual rentals paid by tenants","Per mille",":"
"2015","2015","European Union (current composition)","Other actual rentals","Per mille",":"
"2015","2015","European Union (current composition)","Imputed rentals for housing","Per mille",":"
"2015","2015","European Union (current composition)","Imputed rentals of owner-occupiers","Per mille",":"
"2015","2015","European Union (current composition)","Other imputed rentals","Per mille",":"
"2015","2015","European Union (current composition)","Maintenance and repair of the dwelling","Per mille",":"
"2015","2015","European Union (current composition)","Materials for the maintenance and repair of the dwelling","Per mille",":"
"2015","2015","European Union (current composition)","Services for the maintenance and repair of the dwelling","Per mille",":"
"2015","2015","European Union (current composition)","Water supply and miscellaneous services relating to the dwelling","Per mille",":"
"2015","2015","European Union (current composition)","Water supply","Per mille",":"
"2015","2015","European Union (current composition)","Refuse collection","Per mille",":"
"2015","2015","European Union (current composition)","Sewerage collection","Per mille",":"
"2015","2015","European Union (current composition)","Other services relating to the dwelling n.e.c.","Per mille",":"
"2015","2015","European Union (current composition)","Electricity, gas and other fuels","Per mille",":"
"2015","2015","European Union (current composition)","Electricity","Per mille",":"
"2015","2015","European Union (current composition)","Gas","Per mille",":"
"2015","2015","European Union (current composition)","Liquid fuels","Per mille",":"
"2015","2015","European Union (current composition)","Solid fuels","Per mille",":"
"2015","2015","European Union (current composition)","Heat energy","Per mille",":"
"2015","2015","European Union (current composition)","Furnishings, household equipment and routine household maintenance","Per mille",":"
"2015","2015","European Union (current composition)","Furniture and furnishings, carpets and other floor coverings","Per mille",":"
"2015","2015","European Union (current composition)","Furniture and furnishings","Per mille",":"
"2015","2015","European Union (current composition)","Carpets and other floor coverings","Per mille",":"
"2015","2015","European Union (current composition)","Repair of furniture, furnishings and floor coverings","Per mille",":"
"2015","2015","European Union (current composition)","Household textiles","Per mille",":"
"2015","2015","European Union (current composition)","Household textiles","Per mille",":"
"2015","2015","European Union (current composition)","Household appliances","Per mille",":"
"2015","2015","European Union (current composition)","Major household appliances whether electric or not","Per mille",":"
"2015","2015","European Union (current composition)","Small electric household appliances","Per mille",":"
"2015","2015","European Union (current composition)","Repair of household appliances","Per mille",":"
"2015","2015","European Union (current composition)","Glassware, tableware and household utensils","Per mille",":"
"2015","2015","European Union (current composition)","Glassware, tableware and household utensils","Per mille",":"
"2015","2015","European Union (current composition)","Tools and equipment for house and garden","Per mille",":"
"2015","2015","European Union (current composition)","Major tools and equipment","Per mille",":"
"2015","2015","European Union (current composition)","Small tools and miscellaneous accessories","Per mille",":"
"2015","2015","European Union (current composition)","Goods and services for routine household maintenance","Per mille",":"
"2015","2015","European Union (current composition)","Non-durable household goods","Per mille",":"
"2015","2015","European Union (current composition)","Domestic services and household services","Per mille",":"
"2015","2015","European Union (current composition)","Health","Per mille",":"
"2015","2015","European Union (current composition)","Medical products, appliances and equipment","Per mille",":"
"2015","2015","European Union (current composition)","Pharmaceutical products","Per mille",":"
"2015","2015","European Union (current composition)","Other medical products","Per mille",":"
"2015","2015","European Union (current composition)","Therapeutic appliances and equipment","Per mille",":"
"2015","2015","European Union (current composition)","Out-patient services","Per mille",":"
"2015","2015","European Union (current composition)","Medical services","Per mille",":"
"2015","2015","European Union (current composition)","Dental services","Per mille",":"
"2015","2015","European Union (current composition)","Paramedical services","Per mille",":"
"2015","2015","European Union (current composition)","Hospital services","Per mille",":"
"2015","2015","European Union (current composition)","Hospital services","Per mille",":"
"2015","2015","European Union (current composition)","Transport","Per mille",":"
"2015","2015","European Union (current composition)","Purchase of vehicles","Per mille",":"
"2015","2015","European Union (current composition)","Motor cars","Per mille",":"
"2015","2015","European Union (current composition)","Motor cycles","Per mille",":"
"2015","2015","European Union (current composition)","Bicycles","Per mille",":"
"2015","2015","European Union (current composition)","Animal drawn vehicles","Per mille",":"
"2015","2015","European Union (current composition)","Operation of personal transport equipment","Per mille",":"
"2015","2015","European Union (current composition)","Spare parts and accessories for personal transport equipment","Per mille",":"
"2015","2015","European Union (current composition)","Fuels and lubricants for personal transport equipment","Per mille",":"
"2015","2015","European Union (current composition)","Maintenance and repair of personal transport equipment","Per mille",":"
"2015","2015","European Union (current composition)","Other services in respect of personal transport equipment","Per mille",":"
"2015","2015","European Union (current composition)","Transport services","Per mille",":"
"2015","2015","European Union (current composition)","Passenger transport by railway","Per mille",":"
"2015","2015","European Union (current composition)","Passenger transport by road","Per mille",":"
"2015","2015","European Union (current composition)","Passenger transport by air","Per mille",":"
"2015","2015","European Union (current composition)","Passenger transport by sea and inland waterway","Per mille",":"
"2015","2015","European Union (current composition)","Combined passenger transport","Per mille",":"
"2015","2015","European Union (current composition)","Other purchased transport services","Per mille",":"
"2015","2015","European Union (current composition)","Communications","Per mille",":"
"2015","2015","European Union (current composition)","Postal services","Per mille",":"
"2015","2015","European Union (current composition)","Postal services","Per mille",":"
"2015","2015","European Union (current composition)","Telephone and telefax equipment","Per mille",":"
"2015","2015","European Union (current composition)","Telephone and telefax equipment","Per mille",":"
"2015","2015","European Union (current composition)","Telephone and telefax services","Per mille",":"
"2015","2015","European Union (current composition)","Telephone and telefax services","Per mille",":"
"2015","2015","European Union (current composition)","Recreation and culture","Per mille",":"
"2015","2015","European Union (current composition)","Audio-visual, photographic and information processing equipment","Per mille",":"
"2015","2015","European Union (current composition)","Equipment for the reception, recording and reproduction of sound and picture","Per mille",":"
"2015","2015","European Union (current composition)","Photographic and cinematographic equipment and optical instruments","Per mille",":"
"2015","2015","European Union (current composition)","Information processing equipment","Per mille",":"
"2015","2015","European Union (current composition)","Recording media","Per mille",":"
"2015","2015","European Union (current composition)","Repair of audio-visual, photographic and information processing equipment","Per mille",":"
"2015","2015","European Union (current composition)","Other major durables for recreation and culture","Per mille",":"
"2015","2015","European Union (current composition)","Major durables for outdoor recreation","Per mille",":"
"2015","2015","European Union (current composition)","Musical instruments and major durables for indoor recreation","Per mille",":"
"2015","2015","European Union (current composition)","Maintenance and repair of other major durables for recreation and culture","Per mille",":"
"2015","2015","European Union (current composition)","Other recreational items and equipment, gardens and pets","Per mille",":"
"2015","2015","European Union (current composition)","Games, toys and hobbies","Per mille",":"
"2015","2015","European Union (current composition)","Equipment for sport, camping and open-air recreation","Per mille",":"
"2015","2015","European Union (current composition)","Gardens, plants and flowers","Per mille",":"
"2015","2015","European Union (current composition)","Pets and related products","Per mille",":"
"2015","2015","European Union (current composition)","Veterinary and other services for pets","Per mille",":"
"2015","2015","European Union (current composition)","Recreational and cultural services","Per mille",":"
"2015","2015","European Union (current composition)","Recreational and sporting services","Per mille",":"
"2015","2015","European Union (current composition)","Cultural services","Per mille",":"
"2015","2015","European Union (current composition)","Games of chance","Per mille",":"
"2015","2015","European Union (current composition)","Newspapers, books and stationery","Per mille",":"
"2015","2015","European Union (current composition)","Books","Per mille",":"
"2015","2015","European Union (current composition)","Newspapers and periodicals","Per mille",":"
"2015","2015","European Union (current composition)","Miscellaneous printed matter","Per mille",":"
"2015","2015","European Union (current composition)","Stationery and drawing materials","Per mille",":"
"2015","2015","European Union (current composition)","Package holidays","Per mille",":"
"2015","2015","European Union (current composition)","Package holidays","Per mille",":"
"2015","2015","European Union (current composition)","Education","Per mille",":"
"2015","2015","European Union (current composition)","Pre-primary and primary education","Per mille",":"
"2015","2015","European Union (current composition)","Pre-primary and primary education","Per mille",":"
"2015","2015","European Union (current composition)","Secondary education","Per mille",":"
"2015","2015","European Union (current composition)","Secondary education","Per mille",":"
"2015","2015","European Union (current composition)","Post-secondary non-tertiary education","Per mille",":"
"2015","2015","European Union (current composition)","Post-secondary non-tertiary education","Per mille",":"
"2015","2015","European Union (current composition)","Tertiary education","Per mille",":"
"2015","2015","European Union (current composition)","Tertiary education","Per mille",":"
"2015","2015","European Union (current composition)","Education not definable by level","Per mille",":"
"2015","2015","European Union (current composition)","Education not definable by level","Per mille",":"
"2015","2015","European Union (current composition)","Restaurants and hotels","Per mille",":"
"2015","2015","European Union (current composition)","Catering services","Per mille",":"
"2015","2015","European Union (current composition)","Restaurants, cafés and the like","Per mille",":"
"2015","2015","European Union (current composition)","Canteens","Per mille",":"
"2015","2015","European Union (current composition)","Accommodation services","Per mille",":"
"2015","2015","European Union (current composition)","Accommodation services ","Per mille",":"
"2015","2015","European Union (current composition)","Miscellaneous goods and services","Per mille",":"
"2015","2015","European Union (current composition)","Personal care","Per mille",":"
"2015","2015","European Union (current composition)","Hairdressing salons and personal grooming establishments","Per mille",":"
"2015","2015","European Union (current composition)","Electrical appliances for personal care","Per mille",":"
"2015","2015","European Union (current composition)","Other appliances, articles and products for personal care ","Per mille",":"
"2015","2015","European Union (current composition)","Prostitution","Per mille",":"
"2015","2015","European Union (current composition)","Prostitution","Per mille",":"
"2015","2015","European Union (current composition)","Personal effects n.e.c.","Per mille",":"
"2015","2015","European Union (current composition)","Jewellery, clocks and watches","Per mille",":"
"2015","2015","European Union (current composition)","Other personal effects","Per mille",":"
"2015","2015","European Union (current composition)","Social protection","Per mille",":"
"2015","2015","European Union (current composition)","Social protection ","Per mille",":"
"2015","2015","European Union (current composition)","Insurance","Per mille",":"
"2015","2015","European Union (current composition)","Insurance connected with the dwelling","Per mille",":"
"2015","2015","European Union (current composition)","Insurance connected with health","Per mille",":"
"2015","2015","European Union (current composition)","Insurance connected with transport","Per mille",":"
"2015","2015","European Union (current composition)","Other insurance","Per mille",":"
"2015","2015","European Union (current composition)","Financial services n.e.c.","Per mille",":"
"2015","2015","European Union (current composition)","Other financial services n.e.c.","Per mille",":"
"2015","2015","European Union (current composition)","Other services n.e.c.","Per mille",":"
"2015","2015","European Union (current composition)","Other services n.e.c. ","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Food and non-alcoholic beverages","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Food","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Bread and cereals","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Rice","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Bread","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Other bakery products","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Pasta products and couscous","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Other cereal products","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Meat","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Beef and veal","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Pork","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Lamb and goat","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Poultry","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Dried, salted or smoked meat and edible meat offal","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Other preserved or processed meat and meat preparations","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Other fresh, chilled or frozen edible meat","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Fish and seafood","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Fresh, chilled or frozen fish","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Fresh, chilled or frozen seafood","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Dried, smoked or salted fish and seafood","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Other preserved or processed fish and seafood and fish and seafood preparations","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Milk, cheese and eggs","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Whole milk","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Low fat milk","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Preserved milk","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Yoghurt","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Cheese and curd","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Other milk products","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Eggs","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Oils and fats","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Butter","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Margarine and other vegetable fats","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Olive oil","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Other edible oils","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Other edible animal fats","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Fruit","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Citrus fruits (fresh, chilled or frozen)","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Bananas (fresh, chilled or frozen)","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Apples (fresh, chilled or frozen)","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Pears (fresh, chilled or frozen)","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Stone fruits (fresh, chilled or frozen)","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Berries (fresh, chilled or frozen)","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Other fresh, chilled or frozen fruits","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Dried fruit and nuts","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Preserved fruit and fruit-based products","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Vegetables","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Leaf and stem vegetables (fresh, chilled or frozen)","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Cabbages (fresh or chilled)","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Vegetable grown for their fruit (fresh, chilled or frozen)","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Root crops, non-starchy bulbs and mushrooms (fresh, chilled or frozen)","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Dried vegetables","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Other preserved or processed vegetables","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Potatoes","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Other tubers and products of tuber vegetables","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Sugar, jam, honey, chocolate and confectionery","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Sugar","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Jams, marmalades and honey ","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Chocolate","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Confectionery products","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Edible ices and ice cream","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Other sugar products","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Food products n.e.c.","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Sauces, condiments","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Salt, spices and culinary herbs","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Other food products n.e.c.","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Baker's yeast, dessert preparations, soups","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Non-alcoholic beverages","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Coffee, tea and cocoa","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Coffee","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Tea","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Cocoa and powdered chocolate","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Mineral waters, soft drinks, fruit and vegetable juices","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Mineral or spring waters","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Soft drinks","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Fruit juices","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Vegetable juices","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Alcoholic beverages, tobacco and narcotics","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Alcoholic beverages","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Spirits","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Wine","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Beer","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Tobacco","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Tobacco","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Narcotics","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Narcotics","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Clothing and footwear","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Clothing","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Clothing materials","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Garments","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Other articles of clothing and clothing accessories","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Cleaning, repair and hire of clothing","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Footwear","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Shoes and other footwear","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Repair and hire of footwear","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Housing, water, electricity, gas and other fuels","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Actual rentals for housing","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Actual rentals paid by tenants","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Other actual rentals","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Imputed rentals for housing","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Imputed rentals of owner-occupiers","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Other imputed rentals","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Maintenance and repair of the dwelling","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Materials for the maintenance and repair of the dwelling","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Services for the maintenance and repair of the dwelling","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Water supply and miscellaneous services relating to the dwelling","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Water supply","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Refuse collection","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Sewerage collection","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Other services relating to the dwelling n.e.c.","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Electricity, gas and other fuels","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Electricity","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Gas","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Liquid fuels","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Solid fuels","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Heat energy","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Furnishings, household equipment and routine household maintenance","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Furniture and furnishings, carpets and other floor coverings","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Furniture and furnishings","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Carpets and other floor coverings","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Repair of furniture, furnishings and floor coverings","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Household textiles","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Household textiles","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Household appliances","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Major household appliances whether electric or not","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Small electric household appliances","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Repair of household appliances","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Glassware, tableware and household utensils","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Glassware, tableware and household utensils","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Tools and equipment for house and garden","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Major tools and equipment","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Small tools and miscellaneous accessories","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Goods and services for routine household maintenance","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Non-durable household goods","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Domestic services and household services","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Health","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Medical products, appliances and equipment","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Pharmaceutical products","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Other medical products","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Therapeutic appliances and equipment","Per mille",":"
"2015","2015","European Union (before the accession of Croatia)","Out-patient services","Per mille",":"
